来源,目标,人数
北京,上海,1117
北京,东莞,28
北京,佛山,17
北京,北京,6400
北京,南京,123
北京,大连,21
北京,天津,173
北京,宁波,33
北京,广州,126
北京,成都,239
北京,无锡,55
北京,杭州,145
北京,武汉,198
北京,深圳,265
北京,苏州,198
北京,西安,195
北京,郑州,161
北京,重庆,85
北京,长沙,77
北京,青岛,101
深圳,上海,342
深圳,东莞,224
深圳,佛山,102
深圳,北京,245
深圳,南京,145
深圳,大连,44
深圳,天津,130
深圳,宁波,111
深圳,广州,174
深圳,成都,128
深圳,无锡,124
深圳,杭州,151
深圳,武汉,164
深圳,深圳,3787
深圳,苏州,267
深圳,西安,87
深圳,郑州,99
深圳,重庆,46
深圳,长沙,171
深圳,青岛,79
苏州,上海,167
苏州,北京,7
苏州,南京,22
苏州,天津,7
苏州,宁波,16
苏州,广州,5
苏州,成都,9
苏州,无锡,73
苏州,杭州,15
苏州,武汉,38
苏州,深圳,19
苏州,苏州,2432
苏州,西安,5
苏州,郑州,10
苏州,重庆,13
