城市,行业编码,行业名称,企业数量,NNI,NNI_Z,NNI_P,25%集聚半径_km,50%集聚半径_km,75%集聚半径_km,90%集聚半径_km,Ripley_L峰距_km,Gini系数,主簇集中度,Gi热点数_95%,Gi热点数_99%,Gi冷点数_95%,Gi冷点数_99%,集聚判定
北京,C,制造业,45,0.8146,-2.379,0.0174,18.929,31.373,43.966,54.475,18.684,0.8796,,0,0,0,0,分散/随机
北京,E,建筑业,83,0.548,-7.878,0.0,20.294,34.394,56.735,78.029,29.796,0.8655,0.0361,0,0,0,0,轻度集聚
北京,F,批发零售业,452,0.4911,-20.699,0.0,13.008,22.049,38.719,60.635,26.765,0.9584,0.0066,0,0,0,0,强集聚
北京,G,交通运输仓储,45,0.8352,-2.115,0.0345,18.321,29.088,43.288,56.147,26.765,0.8669,,0,0,0,0,分散/随机
北京,H,住宿餐饮业,75,0.7232,-4.586,0.0,9.468,16.338,24.5,32.937,14.643,0.8956,,0,0,0,0,轻度集聚
北京,I,信息技术服务,171,0.5128,-12.188,0.0,12.67,20.301,32.024,48.085,25.755,0.9684,0.0175,0,0,0,0,轻度集聚
北京,J,金融业,34,0.9832,-0.187,0.8514,9.711,16.376,24.358,33.693,14.643,0.9063,,0,0,0,0,分散/随机
北京,K,房地产业,98,0.5918,-7.731,0.0,12.576,21.203,35.131,53.808,27.776,0.9638,,0,0,0,0,轻度集聚
北京,L,租赁商务服务,852,0.3288,-37.48,0.0,10.802,18.805,29.921,45.593,26.765,0.9703,0.007,12,0,0,0,强集聚
北京,M,科学技术服务,1658,0.0915,-70.77,0.0,13.771,22.091,34.527,51.623,50.0,0.9481,0.0103,10,10,0,0,强集聚
北京,O,居民服务维修,42,0.5823,-5.179,0.0,12.641,22.714,43.699,60.853,22.724,0.9334,,0,0,0,0,轻度集聚
北京,Q,卫生社会工作,29,1.0001,0.001,0.9994,11.686,20.419,27.293,38.947,13.633,0.7849,,0,0,0,0,分散/随机
北京,R,文化体育娱乐,502,0.3928,-26.027,0.0,13.344,22.419,37.853,59.658,28.786,0.9557,0.01,0,0,0,0,强集聚
苏州,C,制造业,239,0.5849,-12.278,0.0,22.422,36.727,53.767,68.181,35.857,0.8675,0.0126,0,0,0,0,轻度集聚
苏州,E,建筑业,96,0.5174,-9.046,0.0,11.52,21.18,45.641,63.248,19.694,0.9133,,0,0,0,0,轻度集聚
苏州,F,批发零售业,290,0.4441,-18.112,0.0,13.9,31.64,47.047,62.26,19.694,0.9348,0.0103,2,0,0,0,强集聚
